ancienne_url;nouvelle_url_relative;type
https://www.bassin-aubenas.fr/actualites/conseil-communautaire-du-29-juin-2021/;/actualites/conseil-communautaire-du-29-juin-2021/;301
https://www.bassin-aubenas.fr/actualites/conseil-local-de-developpement-2/;/actualites/conseil-local-de-developpement-2/;301
https://www.bassin-aubenas.fr/actualites/de-moments-conviviaux-pour-tous-les-ages/;/actualites/de-moments-conviviaux-pour-tous-les-ages/;301
https://www.bassin-aubenas.fr/actualites/dechetteries-reouverture-pour-les-dechets-verts-uniquement/;/actualites/dechetteries-reouverture-pour-les-dechets-verts-uniquement/;301
https://www.bassin-aubenas.fr/actualites/defis-famille-a-alimentation-positive/;/actualites/defis-famille-a-alimentation-positive/;301
https://www.bassin-aubenas.fr/actualites/delais-dinstruction-durbanisme-suspendus-ou-reportes/;/actualites/delais-dinstruction-durbanisme-suspendus-ou-reportes/;301
https://www.bassin-aubenas.fr/actualites/des-ateliers-pour-les-seniors-sur-le-bassin-daubenas/;/actualites/des-ateliers-pour-les-seniors-sur-le-bassin-daubenas/;301
https://www.bassin-aubenas.fr/actualites/des-changements-pour-cet-ete-a-la-mediatheque-intercommunale/;/actualites/des-changements-pour-cet-ete-a-la-mediatheque-intercommunale/;301
https://www.bassin-aubenas.fr/actualites/des-collectes-de-dechets-moins-polluantes/;/actualites/des-collectes-de-dechets-moins-polluantes/;301
https://www.bassin-aubenas.fr/actualites/des-locaux-professionnels-disponibles-a-la-pepiniere-dentreprises-lespelidou/;/actualites/des-locaux-professionnels-disponibles-a-la-pepiniere-dentreprises-lesp/;301
https://www.bassin-aubenas.fr/actualites/enquete-aupres-des-agriculteurs-pour-dresser-un-portrait-de-lagriculture-sur-le-bassin-daubenas/;/actualites/enquete-aupres-des-agriculteurs-pour-dresser-un-portrait-de-lagricultu/;301
https://www.bassin-aubenas.fr/actualites/enquete-participative-et-concours-photo-espace-naturel-sensible-roc-de-gourdon/;/actualites/enquete-participative-et-concours-photo-espace-naturel-sensible-roc-de/;301
https://www.bassin-aubenas.fr/actualites/evenement-les-coulisses-de-lindustrie-en-sud-ardeche-jeudi-20-novembre-2025/;/actualites/evenement-les-coulisses-de-lindustrie-en-sud-ardeche-jeudi-20-novembre/;301
https://www.bassin-aubenas.fr/actualites/ferie-rattrapage-collecte-dechets-1er-janvier-2026/;/actualites/ferie-rattrapage-collecte-dechets-1er-janvier-2026/;301
https://www.bassin-aubenas.fr/actualites/ferie-rattrapage-de-la-collecte-des-dechets-du-mardi-11-novembre-2025/;/actualites/ferie-rattrapage-de-la-collecte-des-dechets-du-mardi-11-novembre-2025/;301
https://www.bassin-aubenas.fr/actualites/fermetures-des-services-au-public-collecte-maintenue/;/actualites/fermetures-des-services-au-public-collecte-maintenue/;301
https://www.bassin-aubenas.fr/actualites/fete-de-lete-des-seniors/;/actualites/fete-de-lete-des-seniors/;301
https://www.bassin-aubenas.fr/actualites/fetes-de-la-rando-dimanche-31-mai-2026-vals-les-bains/;/actualites/fetes-de-la-rando-dimanche-31-mai-2026-vals-les-bains/;301
https://www.bassin-aubenas.fr/actualites/fibre-2-nouvelles-poches/;/actualites/fibre-2-nouvelles-poches/;301
https://www.bassin-aubenas.fr/actualites/formation-baby-sitting-du-19-au-23-fevrier-2024/;/actualites/formation-baby-sitting-du-19-au-23-fevrier-2024/;301
https://www.bassin-aubenas.fr/actualites/formation-baby-sitting-du-24-au-28-fevrier-2025/;/actualites/formation-baby-sitting-du-24-au-28-fevrier-2025/;301
https://www.bassin-aubenas.fr/actualites/formation-baby-sitting-du-6-au-10-fevrier-2023/;/actualites/formation-baby-sitting-du-6-au-10-fevrier-2023/;301
https://www.bassin-aubenas.fr/actualites/formation-babysitting/;/actualites/formation-babysitting/;301
https://www.bassin-aubenas.fr/actualites/formez-vous-au-bricolage-grace-au-bricobus/;/actualites/formez-vous-au-bricolage-grace-au-bricobus/;301
https://www.bassin-aubenas.fr/actualites/garde-denfant-des-places-sont-disponibles/;/actualites/garde-denfant-des-places-sont-disponibles/;301
https://www.bassin-aubenas.fr/actualites/garde-denfants-il-reste-des-places/;/actualites/garde-denfants-il-reste-des-places/;301
https://www.bassin-aubenas.fr/actualites/garde-enfants-personnels-prioritaires/;/actualites/garde-enfants-personnels-prioritaires/;301
https://www.bassin-aubenas.fr/actualites/grande-rencontre-avenir-de-l-eau-vendredi-10-juillet-2026-vals-les-bains/;/actualites/grande-rencontre-avenir-de-l-eau-vendredi-10-juillet-2026-vals-les-bai/;301
https://www.bassin-aubenas.fr/actualites/grele-ardeche-2019/;/actualites/grele-ardeche-2019/;301
https://www.bassin-aubenas.fr/actualites/guide-de-letat-post-grele-toutes-les-aides-aux-particuliers-entreprises-exploitants-agricoles-et-collectivites/;/actualites/guide-de-letat-post-grele-toutes-les-aides-aux-particuliers-entreprise/;301
https://www.bassin-aubenas.fr/actualites/idee-cadeau-noel-2024-box-ardeche-secrete/;/actualites/idee-cadeau-noel-2024-box-ardeche-secrete/;301
https://www.bassin-aubenas.fr/actualites/impact-economique-de-la-crise-covid-notre-engagement-pour-les-entreprises/;/actualites/impact-economique-de-la-crise-covid-notre-engagement-pour-les-entrepri/;301
https://www.bassin-aubenas.fr/actualites/inauguration-de-la-nouvelle-usine-de-limprimerie-chalvet/;/actualites/inauguration-de-la-nouvelle-usine-de-limprimerie-chalvet/;301
https://www.bassin-aubenas.fr/actualites/inauguration-de-la-semaine-bleue/;/actualites/inauguration-de-la-semaine-bleue/;301
https://www.bassin-aubenas.fr/actualites/inauguration-de-la-voie-douce/;/actualites/inauguration-de-la-voie-douce/;301
https://www.bassin-aubenas.fr/actualites/inauguration-des-nouveaux-locaux-sur-le-site-de-ripotier/;/actualites/inauguration-des-nouveaux-locaux-sur-le-site-de-ripotier/;301
https://www.bassin-aubenas.fr/actualites/inauguration-requalification-de-la-zae-de-lavilledieu/;/actualites/inauguration-requalification-de-la-zae-de-lavilledieu/;301
https://www.bassin-aubenas.fr/actualites/info-jeunes-feel-good-session-les-22-et-29-octobre-2025/;/actualites/info-jeunes-feel-good-session-les-22-et-29-octobre-2025/;301
https://www.bassin-aubenas.fr/actualites/info-jeunes-les-rendez-vous-de-juillet-2025/;/actualites/info-jeunes-les-rendez-vous-de-juillet-2025/;301
https://www.bassin-aubenas.fr/actualites/informations-covid-structures-daccueil-enfance-jeunesse-et-parentalite/;/actualites/informations-covid-structures-daccueil-enfance-jeunesse-et-parentalite/;301
https://www.bassin-aubenas.fr/actualites/infos-coronavirus/;/actualites/infos-coronavirus/;301
https://www.bassin-aubenas.fr/actualites/infos-covid-19-les-contacts-pour-accompagner-les-acteurs-economiques/;/economie-entreprises/aides-et-accompagnement/infos-covid-19-les-contacts-pour-accompagner-les-acteurs-economiques/;301
https://www.bassin-aubenas.fr/actualites/initiatives-de-solidarite-pour-les-agriculteurs-locaux/;/actualites/initiatives-de-solidarite-pour-les-agriculteurs-locaux/;301
https://www.bassin-aubenas.fr/actualites/inscrivez-vous-au-ragots-photovoltaique/;/actualites/inscrivez-vous-au-ragots-photovoltaique/;301
https://www.bassin-aubenas.fr/actualites/installation-conseil-communautaire-ccba-2026/;/actualites/installation-conseil-communautaire-ccba-2026/;301
https://www.bassin-aubenas.fr/actualites/jec-2019-ils-nont-pas-perdu-le-nord/;/actualites/jec-2019-ils-nont-pas-perdu-le-nord/;301
https://www.bassin-aubenas.fr/actualites/job-ete-2025/;/actualites/job-ete-2025/;301
https://www.bassin-aubenas.fr/actualites/jour-ferie-collecte-des-dechets-du-samedi-15-aout-2026/;/actualites/jour-ferie-collecte-des-dechets-du-samedi-15-aout-2026/;301
https://www.bassin-aubenas.fr/actualites/jour-ferie-rattrapage-collecte-dechets-lundi-6-avril-2026/;/actualites/jour-ferie-rattrapage-collecte-dechets-lundi-6-avril-2026/;301
https://www.bassin-aubenas.fr/actualites/jour-ferie-rattrapage-de-la-collecte-des-dechets-du-mardi-14-juillet-2026/;/actualites/jour-ferie-rattrapage-de-la-collecte-des-dechets-du-mardi-14-juillet-2/;301
https://www.bassin-aubenas.fr/actualites/journees-europeennes-des-metiers-dart-du-31-mars-au-5-avril-2025/;/actualites/journees-europeennes-des-metiers-dart-du-31-mars-au-5-avril-2025/;301
https://www.bassin-aubenas.fr/actualites/la-ccba-soutient-les-acteurs-economiques-de-son-territoire/;/actualites/la-ccba-soutient-les-acteurs-economiques-de-son-territoire/;301
https://www.bassin-aubenas.fr/actualites/la-ccba-soutient-lhotellerie-independante/;/economie-entreprises/tourisme-professionnel/aides-aux-hebergements-touristiques/;301
https://www.bassin-aubenas.fr/actualites/la-ccba-vous-invite-a-consommer-local/;/actualites/la-ccba-vous-invite-a-consommer-local/;301
https://www.bassin-aubenas.fr/actualites/la-fibre-optique-progresse-sur-le-bassin-daubenas/;/economie-entreprises/numerique-et-fibre/la-fibre-optique-progresse-sur-le-bassin-daubenas/;301
https://www.bassin-aubenas.fr/actualites/la-mediatheque-intercommunale-fait-sa-rentree/;/actualites/la-mediatheque-intercommunale-fait-sa-rentree/;301
https://www.bassin-aubenas.fr/actualites/la-mediatheque-jean-ferrat-se-renouvelle-donnez-votre-avis/;/actualites/la-mediatheque-jean-ferrat-se-renouvelle-donnez-votre-avis/;301
https://www.bassin-aubenas.fr/actualites/la-mediatheque-jean-ferrat-se-transforme/;/actualites/la-mediatheque-jean-ferrat-se-transforme/;301
https://www.bassin-aubenas.fr/actualites/la-voie-douce-sur-france-3/;/actualites/la-voie-douce-sur-france-3/;301
https://www.bassin-aubenas.fr/actualites/lagence-france-travail-daubenas-fermee-jusqua-nouvel-ordre/;/actualites/lagence-france-travail-daubenas-fermee-jusqua-nouvel-ordre/;301
https://www.bassin-aubenas.fr/actualites/lancement-des-travaux-de-la-voie-douce-ucel-st-privat/;/actualites/lancement-des-travaux-de-la-voie-douce-ucel-st-privat/;301
https://www.bassin-aubenas.fr/actualites/lancement-du-bricobus/;/actualites/lancement-du-bricobus/;301
https://www.bassin-aubenas.fr/actualites/lancement-dun-appel-a-manifestation-dinteret-en-vue-de-la-solarisation-du-patrimoine-public/;/actualites/lancement-dun-appel-a-manifestation-dinteret-en-vue-de-la-solarisation/;301
https://www.bassin-aubenas.fr/actualites/le-bassin-daubenas-terre-de-voies-douces/;/actualites/le-bassin-daubenas-terre-de-voies-douces/;301
https://www.bassin-aubenas.fr/actualites/le-bricobus-vous-aide-dans-vos-travaux/;/actualites/le-bricobus-vous-aide-dans-vos-travaux/;301
https://www.bassin-aubenas.fr/actualites/le-conseil-de-developpement-recherche-des-membres/;/actualites/le-conseil-de-developpement-recherche-des-membres/;301
https://www.bassin-aubenas.fr/actualites/le-marathon-du-numerique/;/actualites/le-marathon-du-numerique/;301
https://www.bassin-aubenas.fr/actualites/le-mois-de-la-petite-enfance-avril-2025/;/actualites/le-mois-de-la-petite-enfance-avril-2025/;301
https://www.bassin-aubenas.fr/actualites/le-mois-de-la-petite-enfance-en-avril-2026/;/actualites/le-mois-de-la-petite-enfance-en-avril-2026/;301
https://www.bassin-aubenas.fr/actualites/le-mois-de-la-petite-enfance/;/actualites/le-mois-de-la-petite-enfance/;301
https://www.bassin-aubenas.fr/actualites/le-mois-de-la-rando-2024/;/actualites/le-mois-de-la-rando-2024/;301
https://www.bassin-aubenas.fr/actualites/le-mois-de-la-rando-dimanche-14-mai-a-saint-julien-du-serre/;/actualites/le-mois-de-la-rando-dimanche-14-mai-a-saint-julien-du-serre/;301
https://www.bassin-aubenas.fr/actualites/le-mois-de-la-rando/;/actualites/le-mois-de-la-rando/;301
https://www.bassin-aubenas.fr/actualites/le-pole-info-accueil-petite-enfance-piape-vous-accompagne/;/actualites/le-pole-info-accueil-petite-enfance-piape-vous-accompagne/;301
https://www.bassin-aubenas.fr/actualites/le-pole-seniors-demenage/;/actualites/le-pole-seniors-demenage/;301
